Nro;Ubicacion;Rotulado;Descripcion;Marca;Modelo;Matricula Nro;Motor Nro;Chassis Nro;RASP;"Modelo
Año";Valor;Estado;"Fecha
Incorporacion"
124;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0376;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 999;785266;JTGRB71J6E7018179;C-0010040;2014;222,841,000;Inutilizado;15/12/2016
125;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0375;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 962;783680;JTGRB71J3E7017961;C-0010088;2014;204,985,000;Bueno;8/11/2016
126;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0374;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 952;784247;JTGRB71J6E7018036;C-0010087;2014;204,985,000;Inutilizado;8/11/2016
127;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0373;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 968;784078;JTGRB71JXE7018024;C-0010086;2014;204,985,000;Bueno;8/11/2016
128;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0372;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 965;783838;JTGRB71J9E7017981;C-0010085;2014;204,985,000;Regular;8/11/2016
129;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0371;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 959;781546;JTGRB71J4E7017726;C-0010084;2014;204,985,000;Regular;8/11/2016
130;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0369;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 961;781549;JTGRB71J2E7017725;C-0010082;2014;204,985,000;Bueno;8/11/2016
131;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0368;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 954;784231;JTGRB71J2E7018034;C-0010081;2014;204,985,000;Bueno;8/11/2016
132;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0367;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 960;781455;JTGRB71J4E7017712;C-0010080;2014;204,985,000;Bueno;8/11/2016
133;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0366;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 964;783714;JTGRB71J7E7017963;C-0010079;2014;204,985,000;Malo;8/11/2016
134;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0365;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 985;783874;JTGRB71J4E7017984;C-0010078;2014;204,985,000;Bueno;8/11/2016
135;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0364;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 958;781471;JTGRB71JXE7017729;C-0010077;2014;204,985,000;Bueno;8/11/2016
136;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0363;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 982;787165;JTGRB71J9E7018385;C-0010076;2014;204,985,000;Bueno;8/11/2016
137;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0361;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 738;785717;JTGRB71J1E7018252;C-0010074;2014;204,985,000;Bueno;8/11/2016
138;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0360;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 739;784265;JTGRB71J1E7018039;C-0010073;2014;204,985,000;Bueno;8/11/2016
139;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0359;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 967;783862;JTGRB71J2E7017983;C-0010072;2014;204,985,000;Bueno;8/11/2016
140;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0358;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 984;783678;JTGRB71J1E7017960;C-0010071;2017;204,985,000;Bueno;8/11/2016
141;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0357;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 981;785870;JTGRB71J5E7018271;C-0010070;2014;204,985,000;Inutilizado;8/11/2016
142;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0356;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 955;784223;JTGRB71J0E7018033;C-0010069;2014;204,985,000;Bueno;8/11/2016
143;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0355;AMBULANCIA;TOYOTA;LAND CRUISER HT;EAJ 740;784251;JTGRB71J8E7018037;C-0010068;2014;204,985,000;Regular;8/11/2016
144;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0330;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC020;651955W0067622;8AC906633JE136884;C-0010677;2017;353,920,000;Muy Bueno;17/7/2017
145;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0328;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC003;651955W0067559;8AC906633JE136880;***;2017;353,920,000;Inutilizado;17/7/2017
146;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0327;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC010;651955W0067509;8AC906633JE136878;***;2017;353,920,000;Bueno;17/7/2017
147;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0326;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC013;651955W0067620;8AC906633JE136922;***;2017;353,920,000;Bueno;17/7/2017
148;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0325;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC019;651955W0067529;8AC906633JE136886;***;2017;353,920,000;Muy Bueno;17/7/2017
149;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0324;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC025;651955W0067581;8AC906633JE136818;***;2017;353,920,000;Malo;17/7/2017
150;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0323;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC011;651955W0067526;8AC906633JE136885;***;2017;353,920,000;Regular;17/7/2017
151;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0322;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC015;651955W0067548;8AC906633JE136825;***;2017;353,920,000;Regular;17/7/2017
152;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0321;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC021;651955W0067599;8AC906633JE136822;C-0010599;2017;353,920,000;Bueno;17/7/2017
153;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0320;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC 024;651955W0067624;8AC906633JE136883;C-0010408;2017;353,920,000;Bueno;17/7/2017
154;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0319;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC014;651955W0067699;8AC906633JE136925;***;2017;353,920,000;Malo;17/7/2017
155;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0317;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC023;651955W0067522;8AC906633JE136881;***;2017;353,920,000;Malo;17/7/2017
156;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0316;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC017;651955W0067601;8AC906633JE136823;***;2017;353,920,000;Bueno;17/7/2017
157;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0315;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC008;651955W0067580;8AC906633JE136819;***;2017;353,920,000;Bueno;17/7/2017
158;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0314;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC018;651955W0067528;8AC906633JE136824;***;2017;353,920,000;Regular;17/7/2017
159;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0313;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC005;651955W0067588;8AC906633JE136821;***;2017;353,920,000;Malo;17/7/2017
160;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0311;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC 012;651955W0067685;8AC906633JE136882;C-0010585;2017;353,920,000;Muy Bueno;17/7/2017
161;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0310;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC007;651955W0067590;8AC906633JE136877;C-0010584;2017;353,920,000;Bueno;17/7/2017
162;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0308;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC001;651955W0067558;8AC906633JE136924;***;2017;353,920,000;Inutilizado;17/7/2017
163;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0305;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC 006;651955W0067527;8AC906633JE136817;***;2017;353,920,000;Malo;17/7/2017
164;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0304;AMBULANCIA;MERCEDES BENZ;Sprinter 415 CDI;UCC 004;651955W0067613;8AC906633JE136923;C-0010588;2017;353,920,000;Malo;17/7/2017
165;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0303;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 677;857351;JTERB71J700085674;C-0010202;2017;254,321,000;Bueno;14/2/2017
166;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0302;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 838;857331;JTERB71J500085673;C-0010204;2017;254,321,000;Regular;14/2/2017
167;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0301;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 669;857324;JTERB71JX00085670;C-0010235;2017;254,321,000;Bueno;14/2/2017
168;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0300;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 662;857298;JTERB71J900085658;C-0010214;2017;254,321,000;Bueno;14/2/2017
169;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0299;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 840;857295;JTERB71JX00085653;C-0010224;2017;254,321,000;Bueno;14/2/2017
170;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0298;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 667;857294;JTERB71J400085650;C-0010232;2017;254,321,000;Bueno;14/2/2017
171;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0297;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 548;857287;JTERB71J700085643;C-0010211;2017;254,321,000;Muy Bueno;14/2/2017
172;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0294;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 847;857151;JTERB71JX00085636;C-0010215;2017;254,321,000;Bueno;14/2/2017
173;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0293;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 658;857144;JTERB71J500085625;C-0010199;2017;254,321,000;Bueno;14/2/2017
174;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0292;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 850;857122;JTERB71JX00085622;C-0010216;2017;254,321,000;Muy Bueno;14/2/2017
175;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0291;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 676;1HZ0857005;JTERB71J000085614;C-0010210;2017;254,321,000;Bueno;14/2/2017
176;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0290;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 668;856997;JTERB71J900085613;C-0010236;2017;254,321,000;Regular;14/2/2017
177;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0289;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 670;856983;JTERB71J500085608;C-0010221;2017;254,321,000;Regular;14/2/2017
178;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0288;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 666;856877;JTERB71J500085592;C-0010228;2017;254,321,000;Bueno;14/2/2017
179;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0287;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 783;856903;JTERB71J100085590;C-0010201;2017;254,321,000;Bueno;14/2/2017
180;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0286;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 846;856880;JTERB71J300085588;C-0010203;2017;254,321,000;Bueno;14/2/2017
181;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0285;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 657;856866;JTERB71J100085587;C-0010231;2017;254,321,000;Muy Bueno;14/2/2017
182;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0284;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 656;856829;JTERB71J300085574;C-0010223;2017;254,321,000;Malo;14/2/2017
183;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0283;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 663;856768;JTERB71J800085571;C-0010220;2017;254,321,000;Muy Bueno;14/2/2017
184;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0282;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 660;856707;JTERB71JX00085569;C-0010205;2017;254,321,000;Bueno;14/2/2017
185;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0281;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 863;856577;JTERB71J200085565;C-0010229;2017;254,321,000;Muy Bueno;14/2/2017
186;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0279;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 833;856401;JTERB71J900085546;C-0010208;2017;254,321,000;Bueno;14/2/2017
187;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0278;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 835;856393;JTERB71J400085535;C-0010287;2017;254,321,000;Bueno;14/2/2017
188;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0277;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 836;858819;JTERB71J500085883;C-0010200;2017;254,321,000;Muy Bueno;14/2/2017
189;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0276;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 845;858914;JTERB71J500085897;C-0010207;2017;254,321,000;Bueno;14/2/2017
190;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0275;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 673;858812;JTERB71J300085882;C-0010239;2017;254,321,000;Bueno;14/2/2017
191;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0274;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 659;858749;JTERB71J500085866;C-0010195;2017;254,321,000;Bueno;14/2/2017
192;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0273;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 832;858729;JTERB71JX00085863;C-0010240;2017;254,321,000;Bueno;14/2/2017
193;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0272;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 679;858617;JTERB71J100085847;C-0010234;2017;254,321,000;Regular;14/2/2017
194;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0270;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;HAC 806;858498;JTERB71JX00085829;C-0010226;2017;254,321,000;Bueno;14/2/2017
195;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0269;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 844;858486;JTERB71J600085827;C-0010196;2017;254,321,000;Bueno;14/2/2017
196;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0268;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 837;858417;JTERB71J400085809;C-0010213;2017;254,321,000;Regular;14/2/2017
197;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0267;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 841;858396;JTERB71J000085807;C-0010284;2017;254,321,000;Bueno;14/2/2017
198;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0266;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 843;858104;JTERB71JX00085796;C-0010219;2017;254,321,000;Muy Bueno;14/2/2017
199;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0265;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 864;858004;JTERB71JX00085779;C-0010225;2017;254,321,000;Bueno;14/2/2017
200;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0264;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 680;857621;JTERB71J200085775;C-0010230;2017;254,321,000;Bueno;14/2/2017
201;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0263;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 674;857610;JTERB71J200085758;C-0010198;2017;254,321,000;Regular;14/2/2017
202;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0262;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 675;857604;JTERB71J600085746;C-0010209;2017;254,321,000;Regular;14/2/2017
203;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0261;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 842;857507;JTERB71J500085690;C-0010194;2017;254,321,000;Bueno;14/2/2017
204;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0260;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;HAB 259;857475;JTERB71J900085689;C-0010227;2017;254,321,000;Bueno;14/2/2017
205;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0259;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 671;857439;JTERB71J500085687;C-0010206;2017;254,321,000;Bueno;14/2/2017
206;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0258;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 664;857403;JTERB71J900085675;C-0010218;2017;254,321,000;Muy Bueno;14/2/2017
207;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0257;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 865;856385;JTERB71J000085533;C-0010212;2017;254,321,000;Regular;14/2/2017
208;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0256;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 665;852440;JTERB71J100085511;C-0010233;2017;254,321,000;Bueno;14/2/2017
209;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0255;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 839;851876;JTERB71J300085509;C-0010238;2017;254,321,000;Bueno;14/2/2017
210;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0254;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 851;849199;JTERB71J100085508;C-0010217;2017;254,321,000;Muy Bueno;14/2/2017
211;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0202;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 715;1HZ-0849073;JTERB71J100084519;C-0010191;2016;237,193,000;Bueno;16/6/2016
212;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0201;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 708;1HZ-0849026;JTERB71J500084507;C-0010187;2016;237,193,000;Bueno;16/6/2016
213;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0200;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 700;1HZ-0849018;JTERB71JX00084504;C-0010181;2016;237,193,000;Inutilizado;16/6/2016
214;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0199;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 691;1HZ-0849007;JTERB71J800084503;C-0010188;2016;237,193,000;Muy Bueno;16/6/2016
215;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0198;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 692;1HZ-0848947;JTERB71J200084495;C-0010193;2016;237,193,000;Bueno;16/6/2016
216;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0197;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 701;1HZ-0848942;JTERB71J900084493;C-0010182;2016;237,193,000;Regular;16/6/2016
217;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0196;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 725;1HZ-0848941;JTERB71J700084492;C-0010151;2016;237,193,000;Muy Bueno;16/6/2016
218;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0193;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 723;1HZ-0848899;JTERB71J400084479;C-0010157;2016;237,193,000;Regular;16/6/2016
219;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0192;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 734;1HZ-0848893;JTERB71J900084476;C-0010159;2016;237,193,000;Bueno;16/6/2016
220;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0191;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 732;1HZ-0848889;JTERB71JX00084468;C-0010163;2016;237,193,000;Bueno;16/6/2016
221;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0190;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 705;1HZ-0848807;JTERB71J600084466;C-0010162;2016;237,193,000;Regular;16/6/2016
222;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0189;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 712;1HZ-0848799;JTERB71J000084463;C-0010156;2016;237,193,000;Bueno;16/6/2016
223;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0188;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 711;1HZ-0848795;JTERB71J900084462;C-0010170;2016;237,193,000;Muy Bueno;16/6/2016
224;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0187;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 710;1HZ-0848785;JTERB71J600084452;C-0010174;2016;237,193,000;Bueno;16/6/2016
225;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0186;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 720;1HZ-0848728;JTERB71J400084451;C-0010150;2016;237,193,000;Bueno;16/6/2016
226;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0185;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 714;1HZ-0848720;JTERB71J200084450;C-0010154;2016;237,193,000;Bueno;16/6/2016
227;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0184;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 735;1HZ-0848463;JTERB71J400084448;C-0010161;2016;237,193,000;Regular;16/6/2016
228;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0183;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 713;1HZ-0848397;JTERB71J300084439;C-0010146;2016;237,193,000;Regular;16/6/2016
229;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0182;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 706;1HZ-0848371;JTERB71JX00084437;C-0010176;2016;237,193,000;Bueno;16/6/2016
230;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0181;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 989;848338;JTERB71J500084393;C-0010192;2016;237,193,000;Bueno;16/6/2016
231;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0180;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 699;1HZ-0848328;JTERB71J900084378;C-0010160;2016;237,193,000;Muy Bueno;16/6/2016
232;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0179;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 733;1HZ-0848297;JTERB71J500084362;C-0010145;2016;237,193,000;Bueno;16/6/2016
